Fecha,Hora,Temperatura,Humedad,Lluvia,Luz,Viento
2025-05-20,16:04:10,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:04:15,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:04:20,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:04:25,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:04:30,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:04:35,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:04:40,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:04:45,26.6,60.0,Sin lluvia,Nublado,4
2025-05-20,16:04:50,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:04:55,26.7,59.0,Sin lluvia,Nublado,4
2025-05-20,16:05:00,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:05:05,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:05:10,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:05:15,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:05:20,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:05:25,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:05:30,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:05:35,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:05:40,26.7,59.0,Sin lluvia,Nublado,4
2025-05-20,16:05:45,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:05:50,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:05:56,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:06:01,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:06:06,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:06:11,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:06:16,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:06:21,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:06:26,26.6,59.0,Sin lluvia,Nublado,4
